url_id,total_meters,floor,floors_count,district,price
300027182,40.0,38,40,Даниловский,23500000
299796767,46.0,11,26,Очаково-Матвеевское,25700000
293088942,49.7,13,18,Даниловский,29999999
294441452,30.0,12,14,,9100000
299292668,38.9,3,14,Люблино,10900000
297312651,38.3,2,28,Хорошево-Мневники,21000000
300393733,37.4,17,17,Западное Дегунино,8950000
297834914,38.3,2,19,Некрасовка,10600000
300596893,36.0,8,13,,10900000
299192098,36.7,24,25,Митино,11000000
300197306,36.0,11,33,Нижегородский,14500000
300936684,33.7,9,9,Коньково,10780000
296403474,38.3,24,28,Хорошево-Мневники,22000000
295760765,37.6,37,53,Хорошево-Мневники,18600000
299876210,32.7,12,12,Можайский,9700000
294906403,35.6,1,12,Орехово-Борисово Южное,9600000
300094894,40.8,2,30,Хорошево-Мневники,21000000
298111522,32.4,4,9,Лефортово,11300000
298268445,38.3,9,25,,11000000
297951595,37.0,17,19,Гагаринский,29900000
298975287,33.9,8,22,Покровское-Стрешнево,9499000
299883785,40.7,3,11,Раменки,21990000
298355887,39.6,11,17,,10200000
299340897,43.0,7,19,,8990000
300298041,38.7,15,21,Ново-Переделкино,9900000
300332458,30.0,1,8,Ломоносовский,11900000
296779707,47.0,2,8,Беговой,29450000
297872617,33.1,3,25,Метрогородок,11000000
298396919,37.1,2,16,,10850000
299523717,41.8,12,48,Хорошево-Мневники,20000000
299241818,35.1,11,12,Тимирязевский,13000000
278244783,39.0,4,4,Пресненский,17300000
300401139,35.9,3,5,Таганский,16350000
300297349,30.0,3,12,,7400000
300953502,48.2,41,51,Обручевский,23000000
289459051,37.5,4,15,Останкинский,17500000
299611997,24.0,9,17,,6900000
300931491,34.7,10,20,Головинский,17500000
298875829,46.4,9,17,Лефортово,21900000
300025080,30.8,15,18,Останкинский,11350000
300978998,37.4,4,4,Мещанский,24310000
299293185,32.0,5,9,Даниловский,13389999
295995285,34.0,13,16,,9500000
295203878,40.1,10,24,Западное Дегунино,15500000
301160767,40.3,11,15,Раменки,23300000
300156073,17.2,2,3,Головинский,5390000
286010224,50.0,6,22,Красносельский,28990000
300432678,43.7,28,32,Черемушки,26618544
295406014,35.5,2,3,,5200000
300650861,26.9,8,14,Раменки,15700000
300935784,27.0,6,14,Раменки,15500000
299609357,34.2,6,17,,7850000
291560782,60.0,2,3,,16500000
288557638,21.0,1,7,Южнопортовый,6089000
300587033,26.0,4,5,Ростокино,8350000
298159475,35.0,3,32,Хорошево-Мневники,19000000
300582533,37.6,1,16,Марьино,8850000
300686032,37.4,3,25,Хорошево-Мневники,22500000
300144570,41.0,10,43,Хорошево-Мневники,21000000
299572625,35.0,1,14,Тимирязевский,10600000
300924490,51.1,3,9,Кунцево,25579638
267135296,30.6,3,16,,8300000
298266261,39.83,2,12,,9400000
301053710,17.9,10,10,Проспект Вернадского,8800000
298555341,39.0,9,17,Крюково,9500000
299284866,37.7,4,14,,11000000
298810967,39.1,12,12,Косино-Ухтомский,9200000
300122592,33.0,11,15,,7650000
297954576,40.9,6,15,,9399000
298981209,38.3,3,14,Южное Бутово,10100000
295415897,37.2,12,22,,10200000
301044987,36.9,4,25,,11100000
298622666,32.2,16,18,Останкинский,8450000
298373961,32.6,4,9,Отрадное,10150000
300007803,32.0,4,5,Алтуфьевский,9800000
300708599,38.3,7,14,,10200000
300026151,31.3,13,18,Останкинский,11290000
299168359,30.0,9,9,Хорошево-Мневники,10900000
300657976,38.9,4,16,,8700000
301036939,39.9,13,14,Ново-Переделкино,10250000
299727429,37.0,5,8,,8500000
299963184,38.5,15,17,Северный,9500000
300410066,30.0,10,18,Останкинский,10600000
293779407,35.0,7,22,,8880000
299567766,38.5,17,17,Ново-Переделкино,9800000
300285703,36.0,3,4,Соколиная гора,10100000
299596942,35.0,1,12,Вешняки,8700000
300779233,39.1,1,12,Восточное Измайлово,9300000
298903692,33.0,9,9,Вешняки,10400000
299934710,41.1,11,16,,10500000
300603146,37.4,1,16,Дмитровский,10900000
297818101,47.7,8,19,,11000000
295734944,38.9,2,12,Бирюлево Восточное,8400000
300035292,38.0,11,17,Марьино,10700000
294674434,35.5,10,14,,8600000
299602126,35.0,5,12,Бирюлево Восточное,8700000
300122542,32.1,8,9,,9000000
300438271,30.2,2,5,Перово,10390000
300754183,38.1,1,15,,10550000
298622113,35.0,1,9,Южное Бутово,9500000
300745193,34.7,6,9,Лианозово,11000000
297283770,35.3,9,9,Люблино,8977500
299889339,33.6,12,17,,10459000
300706310,20.5,12,22,Тропарево-Никулино,9000000
297212254,41.6,13,17,,9350000
298372554,35.5,7,12,Западное Дегунино,11300000
300245535,37.9,16,16,Марьино,11390000
301044462,38.0,2,5,Академический,11400000
300123359,33.0,4,9,Коньково,11300000
300595026,37.0,10,19,,11500000
283607568,32.0,4,5,Филевский парк,11500000
300906901,38.4,4,18,Марьино,11450000
300481264,42.6,9,19,,11450000
299862230,39.0,15,23,Южное Бутово,11499000
299987453,37.7,13,14,Чертаново Южное,11600000
297683894,33.0,4,9,Марьина роща,11650000
300669958,33.1,9,22,Москворечье-Сабурово,11800000
